Week,Gameday,Picker,Vistor,Home,Player,Position,1st TD Odds,Result,1st TD Bankroll,ATTS,ATTS Odds,ATTS Bankroll,Actual Result,Position,Odds,,
1,Thursday,Phil,Dallas,Philadelphia,AJ Brown,WR,900,L,-1,NO,,-1,Javonte Williams,RB,1000,-1,Home Team
1,Friday,Anders,Kansas City,LA Chargers,Xavier Worthy,WR,800,,-1,,,-1,Quentin Johnston,WR,1500,-2,Odds >2000
1,Sunday,Neil,Baltimore,Buffalo,Josh Palmer,WR,2200,L,-2,NO,,-2,Dalton Kincaid,TE,1500,-3,Odds <1000
1,Monday,Dan C,Minnesota,Chicago,TJ Hock,TE,1200,L,-3,NO,,-3,Caleb Williams,QB,2000,18,
2,Thursday,Tony,Washington,Green Bay,Tucker Kraft,TE,1200,L,-4,Yes,200,0,Doubs ,WR,1300,17,
2,Sunday,Luke,Atlanta,Minnesota,Penix Jr,QB,3500,L,-5,NO,,-1,Allgeier,RB,1800,16,
2,Monday,Jeremy,Tampa Bay,Houston,Sterling Sheppard,WR,2200,L,-6,NO,,-2,Nico Collins,WR,600,15,
2,Monday,Phil,LA Chargers,Las Vegas,Ladd,WR,750,L,-7,NO,,-3,Keenan Allen,WR,1200,14,
3,Thursday,Anders,Miami,Buffalo,Knox,TE,1200,L,-8,NO,,-4,Ollie Gordon,RB,1600,13,
3,Sunday,Neil,Kansas City,NY Giants,Hunt,RB,1200,L,-9,Yes,240,-0.6,Cam Skattebo,RB,950,12,
3,Monday,Dan C,Detriot,Baltimore,Zay Flowers,WR,900,L,-10,NO,,-1.6,Gibbs,RB,700,11,
4,Thursday,Tony,Seattle,Arizona,Cooper Kupp,WR,1600,L,-11,NO,,-2.6,AJ Barner ,TE,2000,10,
4,Sunday,Luke,Green Bay,Dallas,Golden,WR,1200,L,-12,NO,,-3.6,Doubs ,WR,900,9,
4,Monday,Jeremy,NY Jets,Miami,Fields,QB,1100,L,-13,Yes,220,-0.4,Waller,TE,2500,8,
4,Monday,Phil,Cincinnati,Denver,Mims,WR,1800,L,-14,Yes,400,4.6,Bo Nix,QB,1400,23,
5,Thursday,Anders,San Fran,LA Rams,CMC,RB,650,L,-15,Yes,-110,6.7,Tonges,TE,2500,22,
5,Sunday,Neil,New England,Buffalo,Knox,TE,2700,L,-16,NO,,5.7,Curtis Samuel,WR,3300,21,
5,Monday,Dan C,Kansas City,Jacksonville,Worthy,WR,850,L,-17,NO,,4.7,Kelce,TE,900,20,
6,Thursday,Tony,Philadelphia,NY Giants,AJ Brown,WR,800,L,-18,NO,,3.7,Jaxson Dart,QB,1600,37,
6,Sunday,Luke,Detriot,Kansas City,Tyquan Thorton,WR,2000,L,-19,NO,,2.7,Worthy,WR,1000,36,
6,Monday,Jeremy,Buffalo,Atlanta,Joshua Palmer,WR,2000,L,-20,NO,,1.7,Allgeier,RB,1000,35,
